Time,SoC,Temp,Vol,Curr
0,65.2260635743971,18.788434031414,3.17242,1.93176306172991
1,96.3646391685037,18.9716598209981,3.1827188598814,2.07430725135287
2,95.94769447929,18.9716358222434,3.18271751094568,2.20955559019825
3,95.8200595628185,18.9716102926755,3.18271607596514,2.34504844037494
4,95.7541161548161,18.971583231734,3.18271455490828,2.48042670186582
5,95.7096004795222,18.971554636442,3.18271294760777,2.61637598312919
6,95.6757448039254,18.9715245021471,3.1827112538021,2.75263699976777
7,95.6474012459919,18.9714928252309,3.18270947328789,2.88922204313045
8,95.6217535006898,18.9714596025883,3.18270760589061,3.0260012517216
9,95.5972650832864,18.9714248314947,3.18270565145711,3.16310486354651
10,95.5730924383586,18.9713885082169,3.18270360977756,3.30055023303403
11,97.9599946540344,22.222022761392,4.10601773890248,3.81501501464769
12,99.3149652332101,23.7008750075048,4.14666272624679,3.94215374687672
13,99.423036318285,23.8727312210021,4.15070927451249,4.05042946370491
14,99.4429729750127,23.9045303127984,4.15140865331387,4.15732049952713
15,99.4464461487332,23.9107066820401,4.15154419773536,4.26417487437429
16,99.4425315893313,23.9061327948513,4.15144382081995,4.37123869669451
17,99.433484561119,23.8942760328976,4.15118361650301,4.47859461478855
18,99.420367577892,23.8766840104298,4.15079754818117,4.58628189221249
19,99.4038922454995,23.8548465493309,4.15030788369492,4.69433275008435
20,99.3845954319284,23.8294036267996,4.14973130341308,4.80277563642218
21,99.3629004065157,23.8011726251983,4.14908092652453,4.91163647021424
22,99.3391455160127,23.7708785112174,4.14836723085927,5.02091941163339
23,99.3136023566834,23.7388515709823,4.14759862355022,5.13064746748899
24,99.2864888809168,23.7056929518795,4.14678185729586,5.24085811760468
25,99.2579775879611,23.6715920593117,4.14592228191571,5.35157210514025
26,99.2282052397304,23.6367567184389,4.14502413683463,5.4628095918592
27,99.1972799102055,23.6013856005112,4.14409077509473,5.57459032926665
28,99.1652858455455,23.5657730386784,4.14312481535119,5.6869337121746
29,99.1322873280642,23.5300796079339,4.14212825942905,5.79984602992918
30,99.0983336120114,23.4941696421805,4.14110263738082,5.91332392322813
31,99.0634623807394,23.4582552156068,4.14004912527982,6.02741857262285
32,99.0277013038712,23.4223264034121,4.13896858692013,6.14214912348636
33,98.9910703732904,23.3865176639623,4.13787931332751,6.2575336419347
34,98.953615466762,23.3507449604077,4.13687353174639,6.37358133305388
35,98.9153797221502,23.3150680635117,4.13584670660984,6.4903150136899
36,98.8763606624454,23.2792298356468,4.1347988183578,6.60775303563651
37,98.8365527950515,23.2433603020051,4.13372971805795,6.72585930337356
38,98.795950761103,23.2073580038778,4.13263926123141,6.84470572416005
39,98.7545485061741,23.1712168323412,4.13152728775575,6.96431188419344
40,98.7123285170764,23.135137570785,4.13039338392764,7.08469761665204
41,98.6692819567372,23.0989644609646,4.12923719323294,7.20588295013526
42,98.6254438809917,23.0626483210018,4.12805959685515,7.32788771541428
43,98.5808352347914,23.0264329780641,4.12686125456874,7.45073188586273
44,98.5354485183224,22.99028203704,4.12564200749664,7.57438574782925
45,98.489270697325,22.9540585347007,4.12440150628913,7.69889985624231
46,98.4422894355103,22.9181029354724,4.12313941806549,7.82431120206948
47,98.3944922904691,22.8821032515973,4.121855406916,7.95064078082791
48,98.3458669736711,22.8462660311417,4.12054914360332,8.0779098096226
49,98.2964008306673,22.8105313982314,4.11922028780796,8.20613974027383
50,98.2460807922596,22.7749141553085,4.11786848950907,8.33535226488546
51,98.1948933122258,22.7394791776064,4.11649338439585,8.46535094232086
52,98.1428263774471,22.7042271934303,4.11509464540833,8.59612734077387
53,98.0898659294335,22.6691373232765,4.11367190225499,8.72792872194815
54,98.0359962866879,22.6343029483235,4.1122247370273,8.86077724827854
55,97.9812084973091,22.5998527248359,4.11095070108333,8.99454798662887
56,97.9257909451755,22.5657835113881,4.11028620169152,9.12890396831367
57,97.8699762119134,22.5313175037024,4.10961692555005,9.26430183552548
58,97.8137305284191,22.4786738872716,4.10894246985241,9.40054589891978
59,97.7571679461615,22.411669083918,4.10826400338531,9.53708214400348
60,97.7003952985802,22.3536588310822,4.10758300651132,9.67467070581736
61,97.6433071599011,22.3001987036668,4.10689841781611,9.81333167879372
62,97.5857609919992,22.2404365793992,4.10620845483531,9.95308613776236
63,97.5277493243249,22.1594649400822,4.10551280404386,10.0939540446237
64,97.4693681795197,22.1032684078337,4.10481272702014,10.2359538865452
65,97.4103868658688,22.0646097158661,4.10410586432788,10.3791080440391
66,97.3505112001706,22.0281264840766,4.10338851886994,10.5212977189338
67,97.2896255269873,21.9922544871865,4.10265912729542,10.6644948641909
68,97.2333429227006,21.9590510477769,4.1019630293453,6.77423866709163
69,97.2006213008612,21.9402379591316,4.10154863011847,4.47021782154036
70,97.1790227873832,21.9275700241793,4.10128100505948,3.75112860873007
71,97.1616867641833,21.9167026310487,4.10107007074035,3.52578033423343
72,97.1453535943567,21.9045033332348,4.10087387999848,3.45566800246214
73,97.1287263070371,21.8915113791884,4.10067497068783,3.43381248819632
74,97.111521082745,21.8777940617348,4.10046921092602,3.42693306686776
75,97.0937726754631,21.8620718596961,4.10025682703597,3.42470478792271
76,97.0755895721538,21.8462501377885,4.10003909433301,3.42391943507235
77,97.0570655188741,21.8311663938587,4.09981717445373,3.42358589374611
78,97.0382645139214,21.8171404189036,4.09959186831636,3.42338498963558
79,97.0192335512151,21.8037695639342,4.09936374950548,3.42322404243105
80,97.000014219711,21.7904929334804,4.09913332221796,3.42307595063819
81,96.9806496164825,21.777332763863,4.09893469274712,3.42295204699349
82,96.9611833369275,21.7643853431482,4.09873875776581,3.42283145316211
83,96.9416374017434,21.7515456837064,4.09854200276514,3.42271093864719
84,96.9220278730299,21.738240844665,4.09834459134985,3.42259022774556
85,96.9023733646554,21.7242717966143,4.09814670677473,3.42246930346453
86,96.8826920353836,21.709771229737,4.09794853581326,3.4223482353363
